clustername_1	name_1	clustername_2	name_2	file_ext	raw_distance	squared_similarity	jaccard_index	dss_index	adjacency_index	raw_dss_non_anchor	raw_dss_anchor	non_anchor_domains	anchor_domains	combined_group	shared_group	parent	class	order	family	genus	species
USMM078_contigs.fa_antismash_contig00024.region001	USMM078	VD30_contigs.fa_antismash_contig00004.region001	VD30	NA	0.0762057155370712	0.853395879268646	0.986301362514496	0.922342300415039	0.962962985038757	0.0637060403823853	0.169506281614304	79	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea cancerogena_A
HN022_contigs.fa_antismash_contig00001.region003	HN022	USHLN198_contigs.fa_antismash_contig00002.region002	USHLN198	NA	0.131961643695831	0.753490626811981	0.714285731315613	0.873463034629822	0.681818187236786	0.126536965370178	0	16	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
AS124_contigs.fa_antismash_contig00010.region001	AS124	MMO-89_contigs.fa_antismash_contig00011.region001	MMO-89	NA	1.73472347597681e-17	1	1	1	1	0	0	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USMM061_contigs.fa_antismash_contig00004.region001	USMM061	VD12_contigs.fa_antismash_contig00108.region001	VD12	NA	0.147121369838715	0.727401971817017	0.888888895511627	0.851764917373657	0.888888895511627	0.148235097527504	0	11	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-116_contigs.fa_antismash_contig00010.region001	MMO-116	VD12_contigs.fa_antismash_contig00064.region001	VD12	NA	0.193630784749985	0.650231301784515	0.839999973773956	0.808139324188232	0.703703701496124	0.196171805262566	0.186202317476273	21	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN177_contigs.fa_antismash_contig00002.region002	USHLN177	USMM061_contigs.fa_antismash_contig00003.region001	USMM061	NA	0.0755552724003792	0.854598045349121	0.896551728248596	0.927482783794403	0.791044771671295	0.0724876001477242	0.0726602450013161	58	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
HN117_contigs.fa_antismash_contig00009.region001	HN117	USHLN04_contigs.fa_antismash_contig00009.region001	USHLN04	NA	1.73472347597681e-17	1	1	1	1	0	0	23	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia nevei
MMO-88_contigs.fa_antismash_contig00005.region001	MMO-88	USHLN179_contigs.fa_antismash_contig00001.region001	USHLN179	NA	0.282505095005035	0.514798939228058	0.692307710647583	0.720766246318817	0.571428596973419	0.279233753681183	0	24	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN100_contigs.fa_antismash_contig00010.region001	HN100	USMM062_contigs.fa_antismash_contig00003.region001	USMM062	NA	0.128801763057709	0.758986353874207	0.899999976158142	0.870307445526123	0.899999976158142	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN007_contigs.fa_antismash_contig00001.region001	HN007	MMO-110_contigs.fa_antismash_contig00008.region001	MMO-110	NA	0.101508848369122	0.807286322116852	0.949999988079071	0.898812651634216	0.857142865657806	0.101187326014042	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-83_contigs.fa_antismash_contig00010.region001	MMO-83	USMM063_contigs.fa_antismash_contig00009.region001	USMM063	NA	0.0331224612891674	0.934852182865143	1	0.965853154659271	1	0.0316143371164799	0.0407947674393654	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USHLN167_contigs.fa_antismash_contig00004.region002	USHLN167	VD5_contigs.fa_antismash_contig00010.region001	VD5	NA	0.230343505740166	0.592371106147766	1	0.763677954673767	0.944444417953491	0.230171039700508	0.246317446231842	39	6	ladderane - ladderane	ladderane	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter mori
MMO-126_contigs.fa_antismash_contig00004.region001	MMO-126	USMM072_contigs.fa_antismash_contig00003.region001	USMM072	NA	0.0819055289030075	0.842897474765778	0.977777779102325	0.917003273963928	0.941176474094391	0.0780457854270935	0.103213109076023	49	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USMM086_contigs.fa_antismash_contig00001.region001	USMM086	USMM088_contigs.fa_antismash_contig00002.region002	USMM088	NA	0.066134475171566	0.872104823589325	0.977777779102325	0.933311581611633	0.938775539398193	0.0781399309635162	0.038059625774622	50	5	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis
HN020_contigs.fa_antismash_contig00015.region001	HN020	HN068_contigs.fa_antismash_contig00001.region001	HN068	NA	0.164104491472244	0.698721289634705	0.366666674613953	0.851095020771027	0.333333343267441	0.184659853577614	0.104211375117302	10	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
MMO-16_contigs.fa_antismash_contig00003.region001	MMO-16	SRR14196806.3.fa_antismash_k141_69354.region001	SRR14196806.3	_k141_69354.region001	1.73472347597681e-17	1	1	1	1	0	0	10	0	NI-siderophore - NI-siderophore	NI-siderophore	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia anophelis
HN176_contigs.fa_antismash_contig00004.region001	HN176	MMO-89_contigs.fa_antismash_contig00004.region001	MMO-89	NA	8.23429509182461e-05	0.999835312366486	1	0.99991512298584	1	0.00010526315600145	0	50	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
AA010_contigs.fa_antismash_contig00006.region001	AA010	HN123_contigs.fa_antismash_contig00002.region001	HN123	NA	0.127585962414742	0.761106252670288	0.90625	0.873558282852173	0.800000011920929	0.132761240005493	0.101953603327274	31	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans
USHLN288_contigs.fa_antismash_contig00012.region001	USHLN288	USHLN295_contigs.fa_antismash_contig00007.region001	USHLN295	NA	0.0180505365133285	0.964224755764008	0.974358975887299	0.983128309249878	0.928571403026581	0.00464919116348028	0.0459001772105694	38	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia adecarboxylata
MMO-131_contigs.fa_antismash_contig00011.region001	MMO-131	MMO-143_contigs.fa_antismash_contig00002.region002	MMO-143	NA	0.0639334917068481	0.876220524311066	1	0.93622213602066	0.896551728248596	0.0681746229529381	0.0297029707580805	31	1	betalactone - betalactone	betalactone	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii
HN073_contigs.fa_antismash_contig00008.region001	HN073	MMO-45_contigs.fa_antismash_contig00001.region001	MMO-45	NA	0.143025442957878	0.734405398368835	0.949999988079071	0.856012046337128	0.857142865657806	0.143987938761711	0	21	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-43_contigs.fa_antismash_contig00001.region001	MMO-43	USMM062_contigs.fa_antismash_contig00002.region001	USMM062	NA	0.101508848369122	0.807286322116852	0.949999988079071	0.898812651634216	0.857142865657806	0.101187326014042	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
USHLN184_contigs.fa_antismash_contig00002.region001	USHLN184	USMM061_contigs.fa_antismash_contig00004.region001	USMM061	NA	0.0392666645348072	0.923008561134338	0.899999976158142	0.966173052787781	0.727272748947144	0.0338269285857677	0	11	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
USHLN281_contigs.fa_antismash_contig00006.region001	USHLN281	USHLN33_contigs.fa_antismash_contig00001.region003	USHLN33	NA	0.00112652801908552	0.99774819612503	1	0.998838603496552	1	0.00116136902943253	0	14	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia aphidicola
HN120_contigs.fa_antismash_contig00002.region001	HN120	USMM058_contigs.fa_antismash_contig00003.region001	USMM058	NA	0.0485213100910187	0.905311703681946	0.982456147670746	0.951447546482086	0.9375	0.0511307045817375	0.0352314412593841	62	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USMM061_contigs.fa_antismash_contig00003.region001	USMM061	USMM064_contigs.fa_antismash_contig00003.region001	USMM064	NA	1.73472347597681e-17	1	1	1	1	0	0	60	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
AS124_contigs.fa_antismash_contig00004.region001	AS124	USMM051_contigs.fa_antismash_contig00003.region001	USMM051	NA	0.0819055289030075	0.842897474765778	0.977777779102325	0.917003273963928	0.941176474094391	0.0780457854270935	0.103213109076023	49	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN124_contigs.fa_antismash_contig00001.region002	HN124	USMM054_contigs.fa_antismash_contig00002.region001	USMM054	NA	0.0335876047611237	0.933952927589416	0.949999988079071	0.968834578990936	0.857142865657806	0.0311654228717089	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-83_contigs.fa_antismash_contig00010.region001	MMO-83	USHLN290_contigs.fa_antismash_contig00015.region001	USHLN290	NA	0.248514279723167	0.564730763435364	0.5	0.760017991065979	0.463414639234543	0.311321169137955	0.141890704631805	22	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
AS216_contigs.fa_antismash_contig00001.region001	AS216	MMO-126_contigs.fa_antismash_contig00004.region001	MMO-126	NA	0.277856439352036	0.521491348743439	0.489795923233032	0.729855537414551	0.46428570151329	0.270851850509644	0.268316954374313	31	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudescherichia	Pseudescherichia sp002298805
USHLN271_contigs.fa_antismash_contig00001.region001	USHLN271	USMM055_contigs.fa_antismash_contig00004.region001	USMM055	NA	0.22893500328064	0.594541251659393	0.727272748947144	0.772419393062592	0.727272748947144	0.227580606937408	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei_A
HN124_contigs.fa_antismash_contig00002.region002	HN124	USHLN288_contigs.fa_antismash_contig00001.region001	USHLN288	NA	0.291831284761429	0.501502931118011	0.596153855323792	0.714091420173645	0.476923078298569	0.308379769325256	0.203514069318771	44	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-68_contigs.fa_antismash_contig00001.region003	MMO-68	MMO-87_contigs.fa_antismash_contig00001.region003	MMO-87	NA	1.73472347597681e-17	1	1	1	1	0	0	24	1	betalactone - betalactone	betalactone	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium multivorum
USHLN184_contigs.fa_antismash_contig00002.region001	USHLN184	VD12_contigs.fa_antismash_contig00108.region001	VD12	NA	0.186395987868309	0.66195148229599	0.666666686534882	0.818148493766785	0.666666686534882	0.181851521134377	0	9	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
HN109_contigs.fa_antismash_contig00010.region001	HN109	MMO-94_contigs.fa_antismash_contig00012.region001	MMO-94	NA	1.73472347597681e-17	1	1	1	1	0	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
AS142_contigs.fa_antismash_contig00003.region002	AS142	HN022_contigs.fa_antismash_contig00003.region001	HN022	NA	0.154619798064232	0.714667677879333	0.888888895511627	0.849991023540497	0.600000023841858	0.150008961558342	0	9	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	NA
HN120_contigs.fa_antismash_contig00006.region001	HN120	USHLN177_contigs.fa_antismash_contig00007.region001	USHLN177	NA	0.0218873266130686	0.956704378128052	1	0.977435767650604	1	0.0193490888923407	0.0312050152570009	43	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-119_contigs.fa_antismash_contig00001.region001	MMO-119	MMO-120_contigs.fa_antismash_contig00012.region001	MMO-120	NA	0.128801763057709	0.758986353874207	0.899999976158142	0.870307445526123	0.899999976158142	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN022_contigs.fa_antismash_contig00001.region003	HN022	USHLN256_contigs.fa_antismash_contig00001.region002	USHLN256	NA	0.259797424077988	0.547899842262268	0.782608687877655	0.740422487258911	0.708333313465118	0.259577512741089	0	22	0	hserlactone - hserlactone.arylpolyene	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
MMO-104_contigs.fa_antismash_contig00006.region001	MMO-104	MMO-144_contigs.fa_antismash_contig00007.region001	MMO-144	NA	1.73472347597681e-17	1	1	1	1	0	0	25	1	betalactone - betalactone	betalactone	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter ruhlandii
AS209_contigs.fa_antismash_contig00019.region001	AS209	HN069_contigs.fa_antismash_contig00003.region001	HN069	NA	0.294282913208008	0.498036593198776	0.557692289352417	0.710062742233276	0.568965494632721	0.305506974458694	0.239335760474205	39	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella ornithinolytica
MMO-89_contigs.fa_antismash_contig00012.region001	MMO-89	USMM063_contigs.fa_antismash_contig00004.region001	USMM063	NA	0.128801763057709	0.758986353874207	0.899999976158142	0.870307445526123	0.899999976158142	0.129692539572716	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN109_contigs.fa_antismash_contig00010.region001	HN109	MMO-88_contigs.fa_antismash_contig00012.region001	MMO-88	NA	1.73472347597681e-17	1	1	1	1	0	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN093_contigs.fa_antismash_contig00011.region001	HN093	HN123_contigs.fa_antismash_contig00002.region001	HN123	NA	0.13476625084877	0.748629450798035	0.928571403026581	0.867300391197205	0.733333349227905	0.157414242625237	0.0956276804208756	12	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii
HN125_contigs.fa_antismash_contig00007.region001	HN125	MMO-94_contigs.fa_antismash_contig00011.region001	MMO-94	NA	0.0330311246216297	0.935028791427612	1	0.965947270393372	1	0.0317113995552063	0.0401986353099346	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-120_contigs.fa_antismash_contig00004.region001	MMO-120	USHLN177_contigs.fa_antismash_contig00002.region002	USHLN177	NA	0.0822235867381096	0.842313528060913	0.95652174949646	0.918015837669373	0.886792480945587	0.0792601555585861	0.0931072756648064	49	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-110_contigs.fa_antismash_contig00001.region001	MMO-110	VD12_contigs.fa_antismash_contig00108.region001	VD12	NA	0.147121369838715	0.727401971817017	0.888888895511627	0.851764917373657	0.888888895511627	0.148235097527504	0	11	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
MMO-90_contigs.fa_antismash_contig00001.region001	MMO-90	USHLN184_contigs.fa_antismash_contig00001.region001	USHLN184	NA	0.142676442861557	0.735003650188446	0.692307710647583	0.864919483661652	0.571428596973419	0.135080516338348	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-43_contigs.fa_antismash_contig00010.region001	MMO-43	MMO-90_contigs.fa_antismash_contig00010.region001	MMO-90	NA	1.73472347597681e-17	1	1	1	1	0	0	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN049_contigs.fa_antismash_contig00001.region001	HN049	HN100_contigs.fa_antismash_contig00001.region001	HN100	NA	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-126_contigs.fa_antismash_contig00002.region001	MMO-126	MMO-88_contigs.fa_antismash_contig00005.region001	MMO-88	NA	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
AS091_contigs.fa_antismash_contig00002.region002	AS091	HN037_contigs.fa_antismash_contig00002.region001	HN037	NA	0.292201519012451	0.500978648662567	0.596153855323792	0.713858783245087	0.469696968793869	0.309404134750366	0.200844019651413	44	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei_A
USMM054_contigs.fa_antismash_contig00004.region001	USMM054	USMM055_contigs.fa_antismash_contig00004.region001	USMM055	NA	1.73472347597681e-17	1	1	1	1	0	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USMM051_contigs.fa_antismash_contig00004.region001	USMM051	USMM054_contigs.fa_antismash_contig00004.region001	USMM054	NA	1.73472347597681e-17	1	1	1	1	0	0	12	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
HN100_contigs.fa_antismash_contig00009.region001	HN100	VD12_contigs.fa_antismash_contig00064.region001	VD12	NA	0.196756839752197	0.645199596881866	0.839999973773956	0.804916560649872	0.703703701496124	0.198627039790154	0.190432414412498	21	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-94_contigs.fa_antismash_contig00009.region001	MMO-94	USMM064_contigs.fa_antismash_contig00002.region001	USMM064	NA	0.101508848369122	0.807286322116852	0.949999988079071	0.898812651634216	0.857142865657806	0.101187326014042	0	20	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN022_contigs.fa_antismash_contig00001.region003	HN022	USHLN35_contigs.fa_antismash_contig00001.region003	USHLN35	NA	0.265160530805588	0.539989054203033	0.681818187236786	0.737090528011322	0.652173936367035	0.262909501791	0	19	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea agglomerans
HN007_contigs.fa_antismash_contig00010.region001	HN007	HN037_contigs.fa_antismash_contig00011.region001	HN037	NA	0.259545832872391	0.548272371292114	0.5	0.7486452460289	0.463414639234543	0.310987770557404	0.169359341263771	22	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN041_contigs.fa_antismash_contig00001.region004	HN041	MMO-143_contigs.fa_antismash_contig00008.region001	MMO-143	NA	0.0975301712751388	0.814451813697815	0.903225779533386	0.905449569225311	0.757575750350952	0.104198314249516	0.060782965272665	28	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii_H
AS093_contigs.fa_antismash_contig00003.region001	AS093	USHLN08_contigs.fa_antismash_contig00004.region001	USHLN08	NA	0.018938846886158	0.962480962276459	1	0.980475425720215	1	0.0137468669563532	0.0585241727530956	27	1	betalactone - betalactone	betalactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens
MMO-89_contigs.fa_antismash_contig00004.region001	MMO-89	MMO-94_contigs.fa_antismash_contig00004.region001	MMO-94	NA	8.23429509182461e-05	0.999835312366486	1	0.99991512298584	1	0.00010526315600145	0	50	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN100_contigs.fa_antismash_contig00004.region001	HN100	MMO-116_contigs.fa_antismash_contig00003.region001	MMO-116	NA	0.0818725377321243	0.842958033084869	0.977777779102325	0.91703724861145	0.941176474094391	0.0780034437775612	0.103213109076023	49	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN007_contigs.fa_antismash_contig00001.region001	HN007	HN049_contigs.fa_antismash_contig00001.region001	HN049	NA	1.73472347597681e-17	1	1	1	1	0	0	27	0	hserlactone - hserlactone	hserlactone	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
MMO-84_contigs.fa_antismash_contig00004.region001	MMO-84	MMO-89_contigs.fa_antismash_contig00004.region001	MMO-89	NA	8.23429509182461e-05	0.999835312366486	1	0.99991512298584	1	0.00010526315600145	0	50	3	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii
HN173_contigs.fa_antismash_contig00001.region001	HN173	USHLN177_contigs.fa_antismash_contig00003.region001	USHLN177	NA	0.266929924488068	0.537391722202301	0.555555582046509	0.738560199737549	0.555555582046509	0.261439800262451	0	7	0	NI-siderophore - NRP-metallophore.NRPS.NI-siderophore	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia_A	Serratia_A fonticola
MMO-66_contigs.fa_antismash_contig00001.region001	MMO-66	USHLN154_contigs.fa_antismash_contig00003.region001	USHLN154	NA	0.272877663373947	0.528706908226013	0.800000011920929	0.727813899517059	0.657142877578735	0.288849830627441	0.147208124399185	30	1	betalactone - betalactone	betalactone	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leucobacter	NA
USHLN152_contigs.fa_antismash_contig00002.region002	USHLN152	USMM074_contigs.fa_antismash_contig00012.region002	USMM074	NA	0.116182819008827	0.781132817268372	0.914285719394684	0.88277930021286	0.918918907642364	0.127708077430725	0.0972946137189865	38	5	NRP-metallophore.NRPS - NRP-metallophore.NRPS	NRP-metallophore.NRPS	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_S
MMO-104_contigs.fa_antismash_contig00006.region001	MMO-104	MMO-123_contigs.fa_antismash_contig00006.region001	MMO-123	NA	1.73472347597681e-17	1	1	1	1	0	0	25	1	betalactone - betalactone	betalactone	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter ruhlandii
MMO-116_contigs.fa_antismash_contig00010.region001	MMO-116	USMM072_contigs.fa_antismash_contig00009.region001	USMM072	NA	0.00418103439733386	0.99165540933609	1	0.995689630508423	1	0	0.015625	42	4	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_B
USHLN291_contigs.fa_antismash_contig00001.region001	USHLN291	VD12_contigs.fa_antismash_contig00108.region001	VD12	NA	0.0934200435876846	0.821887195110321	0.800000011920929	0.909876227378845	0.800000011920929	0.090123750269413	0	10	0	NI-siderophore - NI-siderophore	NI-siderophore	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei_A
HN047_contigs.fa_antismash_contig00008.region001	HN047	MMO-130_contigs.fa_antismash_contig00012.region001	MMO-130	NA	0.173829108476639	0.682558357715607	0.60606062412262	0.835459768772125	0.485714286565781	0.19210521876812	0.0956276804208756	20	2	arylpolyene - arylpolyene	arylpolyene	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter modestus
